filename,subject,trial,step,pass,reasons
S034_Trial04_Step01.csv,S034,4,1,True,PASS
S034_Trial04_Step02.csv,S034,4,2,True,PASS
S034_Trial05_Step01.csv,S034,5,1,True,PASS
S034_Trial05_Step02.csv,S034,5,2,True,PASS
S035_Trial01_Step01.csv,S035,1,1,True,PASS
S035_Trial02_Step01.csv,S035,2,1,True,PASS
S035_Trial03_Step01.csv,S035,3,1,True,PASS
S035_Trial04_Step01.csv,S035,4,1,True,PASS
S035_Trial05_Step01.csv,S035,5,1,True,PASS
S036_Trial01_Step01.csv,S036,1,1,True,PASS
S036_Trial02_Step01.csv,S036,2,1,True,PASS
S036_Trial02_Step02.csv,S036,2,2,True,PASS
S036_Trial03_Step01.csv,S036,3,1,True,PASS
S036_Trial03_Step02.csv,S036,3,2,True,PASS
S036_Trial04_Step01.csv,S036,4,1,True,PASS
S036_Trial04_Step02.csv,S036,4,2,True,PASS
S036_Trial05_Step01.csv,S036,5,1,True,PASS
S036_Trial05_Step02.csv,S036,5,2,True,PASS
S037_Trial01_Step01.csv,S037,1,1,True,PASS
S037_Trial01_Step02.csv,S037,1,2,True,PASS
S037_Trial02_Step01.csv,S037,2,1,True,PASS
S037_Trial03_Step01.csv,S037,3,1,True,PASS
S037_Trial04_Step01.csv,S037,4,1,True,PASS
S037_Trial05_Step01.csv,S037,5,1,True,PASS
S038_Trial01_Step01.csv,S038,1,1,True,PASS
S038_Trial02_Step01.csv,S038,2,1,True,PASS
S038_Trial03_Step01.csv,S038,3,1,True,PASS
S038_Trial04_Step01.csv,S038,4,1,True,PASS
S038_Trial04_Step02.csv,S038,4,2,True,PASS
S038_Trial05_Step01.csv,S038,5,1,True,PASS
S038_Trial05_Step02.csv,S038,5,2,True,PASS
S039_Trial01_Step01.csv,S039,1,1,True,PASS
S039_Trial01_Step02.csv,S039,1,2,True,PASS
S039_Trial02_Step01.csv,S039,2,1,True,PASS
S039_Trial02_Step02.csv,S039,2,2,True,PASS
S039_Trial03_Step01.csv,S039,3,1,True,PASS
S039_Trial03_Step02.csv,S039,3,2,True,PASS
S039_Trial04_Step01.csv,S039,4,1,True,PASS
S039_Trial04_Step02.csv,S039,4,2,True,PASS
